名称：Assassin’s Creed® III - The Tyranny of King Washington: The Redemption 	 发行日期：2013年4月23日 	 评级：多半差评 	 评价详情：74 篇用户的游戏评测中有 39% 为好评。 
名称：Rocksmith - Rise Against - The Good Left Undone 	 发行日期：2013年4月16日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Vines - Get Free 	 发行日期：2013年4月16日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Modest Mouse - Float On 	 发行日期：2013年4月16日 	 评级：None 	 评价详情：None 
名称：ShootMania Storm 	 发行日期：2013年4月10日 	 评级：特别好评 	 评价详情：523 篇用户的游戏评测中有 85% 为好评。 
名称：Rocksmith - Creedence Clearwater Revival - Have You Ever Seen the Rain? 	 发行日期：2013年4月2日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Allman Brothers Band - Southbound 	 发行日期：2013年4月2日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Sweet - Ballroom Blitz 	 发行日期：2013年4月2日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Allman Brothers Band Song Pack 	 发行日期：2013年4月2日 	 评级：None 	 评价详情：None 
名称：Trials Evolution: Gold Edition 	 发行日期：2013年3月21日 	 评级：多半好评 	 评价详情：1,600 篇用户的游戏评测中有 76% 为好评。 
名称：Rocksmith - The Cure Song Pack 	 发行日期：2013年3月19日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Cure - Love Song 	 发行日期：2013年3月19日 	 评级：None 	 评价详情：None 
名称：Assassin’s Creed® III: The Betrayal 	 发行日期：2013年3月19日 	 评级：褒贬不一 	 评价详情：38 篇用户的游戏评测中有 42% 为好评。 
名称：Rocksmith - The Cure - Just Like Heaven 	 发行日期：2013年3月19日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Cure - The End of the World 	 发行日期：2013年3月19日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Blue Oyster Cult Song Pack 	 发行日期：2013年3月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Violent Femmes - Blister in the Sun 	 发行日期：2013年3月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Living Colour - Cult of Personality 	 发行日期：2013年3月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Blue Oyster Cult - Burnin' for You 	 发行日期：2013年3月5日 	 评级：None 	 评价详情：None 
名称：TrackMania² Canyon 	 发行日期：2013年2月27日 	 评级：特别好评 	 评价详情：896 篇用户的游戏评测中有 80% 为好评。 
名称：Tom Clancy's Ghost Recon Future Soldier® - Khyber Strike 	 发行日期：2013年2月26日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Incubus - Wish You Were Here 	 发行日期：2013年2月26日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Incubus - Love Hurts 	 发行日期：2013年2月26日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Incubus - Anna Molly 	 发行日期：2013年2月26日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Incubus Song Pack 	 发行日期：2013年2月26日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Judas Priest - You've Got Another Thing Comin' 	 发行日期：2013年2月19日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Ram Jam - Black Betty 	 发行日期：2013年2月19日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Kansas - Carry On Wayward Son 	 发行日期：2013年2月19日 	 评级：None 	 评价详情：None 
名称：Assassin's Creed® III Tyranny of King Washington: The Infamy 	 发行日期：2013年2月19日 	 评级：褒贬不一 	 评价详情：102 篇用户的游戏评测中有 40% 为好评。 
名称：Rocksmith - The Clash - Should I Stay or Should I Go 	 发行日期：2013年2月12日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Clash - Guns of Brixton 	 发行日期：2013年2月12日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Clash Song-Pack 	 发行日期：2013年2月12日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Clash - London Calling 	 发行日期：2013年2月12日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Fall Out Boy Song-Pack 	 发行日期：2013年2月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Fall Out Boy - Dance, Dance 	 发行日期：2013年2月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Fall Out Boy - Thnks fr th Mmrs 	 发行日期：2013年2月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Fall Out boy - I Don't Care 	 发行日期：2013年2月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Fall Out Boy - America's Suitehearts 	 发行日期：2013年2月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Fall Out Boy - Sugar, We're Goin Down 	 发行日期：2013年2月5日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Steppenwolf - Born to be Wild 	 发行日期：2013年1月29日 	 评级：None 	 评价详情：None 
名称：Rocksmith - Cheap Trick - Surrender 	 发行日期：2013年1月29日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Guess Who - American Woman 	 发行日期：2013年1月29日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Strokes - Last Nite 	 发行日期：2013年1月22日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Strokes - Reptilia 	 发行日期：2013年1月22日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Strokes - Juicebox 	 发行日期：2013年1月22日 	 评级：None 	 评价详情：None 
名称：Rocksmith - The Strokes Song Pack 	 发行日期：2013年1月22日 	 评级：None 	 评价详情：None 
名称：Tom Clancy's Ghost Recon Future Soldier® Raven Strike DLC 	 发行日期：2013年1月17日 	 评级：好评 	 评价详情：13 篇用户的游戏评测中有 84% 为好评。 
名称：Anno 2070 DLC Complete Pack 	 发行日期：2013年1月17日 	 评级：褒贬不一 	 评价详情：18 篇用户的捆绑包游戏评测中有 55% 为好评。 
名称：Far Cry® 3 Deluxe Bundle DLC 	 发行日期：2013年1月15日 	 评级：多半好评 	 评价详情：68 篇用户的游戏评测中有 75% 为好评。 
名称：Rocksmith - Pearl Jam Song Pack 	 发行日期：2013年1月15日 	 评级：None 	 评价详情：None 
